[['11000000,203,01/01/2009,12/31/2010,1.03'],
 ['11000000,204,01/01/2009,12/31/2010,4.38'],
 ['11000000,205,01/01/2009,12/31/2010,6.89'],
 ['11000000,208,01/01/2009,12/31/2010,70'],
 ['11000000,221,01/01/2009,12/31/2010,0.0'],
 ['11000000,255,01/01/2009,12/31/2010,87.50'],
 ['11000000,262,01/01/2009,12/31/2010,0'],
 ['11000000,263,01/01/2009,12/31/2010,0'],
 ['11000000,269,01/01/2009,12/31/2010,6.89'],
 ['11000000,291,01/01/2009,12/31/2010,0.0'],
 ['11000000,301,01/01/2009,12/31/2010,32'],
 ['11000000,303,01/01/2009,12/31/2010,0.03'],
 ['11000000,304,01/01/2009,12/31/2010,3'],
 ['11000000,305,01/01/2009,12/31/2010,14'],
 ['11000000,306,01/01/2009,12/31/2010,51'],
 ['11000000,307,01/01/2009,12/31/2010,17'],
 ['11000000,309,01/01/2009,12/31/2010,0.17'],
 ['11000000,312,01/01/2009,12/31/2010,0.052'],
 ['11000000,317,01/01/2009,12/31/2010,1.8'],
 ['11000000,319,01/01/2009,12/31/2010,60'],
 ['11000000,320,01/01/2009,12/31/2010,61'],
 ['11000000,321,01/01/2009,12/31/2010,7'],
 ['11000000,322,01/01/2009,12/31/2010,0'],
 ['11000000,323,01/01/2009,12/31/2010,0.08'],
 ['11000000,328,01/01/2009,12/31/2010,0.1'],
 ['11000000,334,01/01/2009,12/31/2010,0'],
 ['11000000,337,01/01/2009,12/31/2010,0'],
 ['11000000,338,01/01/2009,12/31/2010,0'],
 ['11000000,401,01/01/2009,12/31/2010,5.0'],
 ['11000000,404,01/01/2009,12/31/2010,0.014'],
 ['11000000,405,01/01/2009,12/31/2010,0.036'],
 ['11000000,406,01/01/2009,12/31/2010,0.177'],
 ['11000000,415,01/01/2009,12/31/2010,0.011'],
 ['11000000,417,01/01/2009,12/31/2010,5'],
 ['11000000,418,01/01/2009,12/31/2010,0.05'],
 ['11000000,421,01/01/2009,12/31/2010,16.0'],
 ['11000000,430,01/01/2009,12/31/2010,0.3'],
 ['11000000,431,01/01/2009,12/31/2010,0'],
 ['11000000,432,01/01/2009,12/31/2010,5'],
 ['11000000,435,01/01/2009,12/31/2010,5'],
 ['11000000,573,01/01/2009,12/31/2010,0.00'],
 ['11000000,578,01/01/2009,12/31/2010,0.00'],
 ['11000000,601,01/01/2009,12/31/2010,14'],
 ['11000000,606,01/01/2009,12/31/2010,2.009'],
 ['11000000,607,01/01/2009,12/31/2010,0.000'],
 ['11000000,608,01/01/2009,12/31/2010,0.000'],
 ['11000000,609,01/01/2009,12/31/2010,0.000'],
 ['11000000,610,01/01/2009,12/31/2010,0.063'],
 ['11000000,611,01/01/2009,12/31/2010,0.256'],
 ['11000000,612,01/01/2009,12/31/2010,0.321'],
 ['11000000,613,01/01/2009,12/31/2010,0.919'],
 ['11000000,614,01/01/2009,12/31/2010,0.293'],
 ['11000000,617,01/01/2009,12/31/2010,1.475'],
 ['11000000,618,01/01/2009,12/31/2010,0.374'],
 ['11000000,619,01/01/2009,12/31/2010,0.052'],
 ['11000000,620,01/01/2009,12/31/2010,0.026'],
 ['11000000,621,01/01/2009,12/31/2010,0.000'],
